IP Address,Device Type/Role,Network Segment/Lineup,Modbus Block ID/Name,Modbus Address,Field Name,Field Size (Words),Data Type,Read/Write,Units,Example/Typical Value,Notes
10.0.6.118,PCS / SMA Inverter,Lineup 6 PCS Skid,ID InverterThreePhase,104,HeatSinkTemperature,1,sint16,R,C,38,"SMA Internal IGBT Module Coolant Temperature"
10.0.6.118,PCS / SMA Inverter,Lineup 6 PCS Skid,ID InverterThreePhase,108,OperatingState,1,enum16,R,N/A,4,"SMA Inverter State (4=Grid Connect/Running)"
10.0.6.4,MOXA I/O Controller,Lineup 6 Team Box,ID AuxiliaryTelemetry,13041,PVSSetpointKw,1,sint16,RW,kW,1200,"Dynamic power limit setpoint command"
10.0.6.4,MOXA I/O Controller,Lineup 6 Team Box,ID AuxiliaryTelemetry,13145,OATmp,1,sint16,R,C,21,"Outside Ambient Air Temperature"
10.0.6.4,MOXA I/O Controller,Lineup 6 Team Box,ID AuxiliaryTelemetry,13146,OAHumidity,1,sint16,R,%,45,"Outside Ambient Relative Humidity"
10.0.6.4,MOXA I/O Controller,Lineup 6 Team Box,ID AuxiliaryTelemetry,13191,HydrogenPPM,1,uint16,R,PPM,3,"Battery safety enclosure off-gas level"
10.0.7.1,BMS / Phoenix Controller,Lineup 7 AC Cabinet,ID BatteryBaseModel,647,Battery Identifier Block,1,uint16,R,N/A,802,"Battery System Modbus Block"
10.0.7.1,BMS / Phoenix Controller,Lineup 7 AC Cabinet,ID BatteryBaseModel,658,StateofCharge,1,uint16,R,%,84,"Active Battery state of charge (SoC)"
10.0.7.1,BMS / Phoenix Controller,Lineup 7 AC Cabinet,ID BatteryBaseModel,660,StateofHealth,1,uint16,R,%,98,"Active Battery state of health (SoH)"
10.0.7.1,BMS / Phoenix Controller,Lineup 7 AC Cabinet,ID BatteryBaseModel,664,ControlMode,1,enum16,R,N/A,2,"BMS Control Mode State"
10.0.7.1,BMS / Phoenix Controller,Lineup 7 AC Cabinet,ID BatteryBaseModel,691,TotalDCCurrent,1,sint16,R,A,450,"Phoenix Battery Line Charge Amperage"
10.0.7.1,BMS / Phoenix Controller,Lineup 7 AC Cabinet,ID BatteryBaseModel,694,TotalPower,1,sint16,R,W,124500,"Phoenix Enclosure DC Kilowatts"
10.0.7.1,BMS / Phoenix Controller,Lineup 7 AC Cabinet,ID LithiumIonBatteryBankModel,1159,Lithium Model Block,1,uint16,R,N/A,803,"Lithium Ion Chemical Bank Specification"
10.0.7.1,BMS / Phoenix Controller,Lineup 7 AC Cabinet,ID LithiumIonBatteryBankModel,1161,StringCount,1,uint16,R,Count,4,"Number of live strings attached"
10.0.7.1,BMS / Phoenix Controller,Lineup 7 AC Cabinet,ID LithiumIonBatteryBankModel,1163,MaxModuleTemperature,1,sint16,R,C,28,"Highest internal module cell thermistor value"
10.0.7.1,BMS / Phoenix Controller,Lineup 7 AC Cabinet,ID LithiumIonBatteryBankModel,1166,MinModuleTemperature,1,sint16,R,C,22,"Lowest internal module cell thermistor value"
10.0.7.118,PCS / SMA Inverter,Lineup 7 PCS Skid,ID InverterThreePhase,70,Inverter Identifier Block,1,uint16,R,N/A,103,"Inverter SunSpec Modbus Block"
10.0.7.118,PCS / SMA Inverter,Lineup 7 PCS Skid,ID InverterThreePhase,72,Amps,1,uint16,R,A,150,"SMA Aggregate AC Output Current"
10.0.7.118,PCS / SMA Inverter,Lineup 7 PCS Skid,ID InverterThreePhase,73,AmpsPhaseA,1,uint16,R,A,50,"SMA Inverter Phase A Current"
10.0.7.118,PCS / SMA Inverter,Lineup 7 PCS Skid,ID InverterThreePhase,74,AmpsPhaseB,1,uint16,R,A,50,"SMA Inverter Phase B Current"
10.0.7.118,PCS / SMA Inverter,Lineup 7 PCS Skid,ID InverterThreePhase,75,AmpsPhaseC,1,uint16,R,A,50,"SMA Inverter Phase C Current"
10.0.7.118,PCS / SMA Inverter,Lineup 7 PCS Skid,ID InverterThreePhase,77,PhaseVoltageAB,1,uint16,R,V,480,"SMA Inverter AC Interconnection Voltage"
10.0.7.118,PCS / SMA Inverter,Lineup 7 PCS Skid,ID InverterThreePhase,80,PhaseVoltageAN,1,uint16,R,V,277,"SMA Inverter AC LN Reference Voltage"
10.0.7.118,PCS / SMA Inverter,Lineup 7 PCS Skid,ID InverterThreePhase,84,Watts,1,sint16,R,W,124200,"SMA Inverter Active AC Output Power"
10.0.7.118,PCS / SMA Inverter,Lineup 7 PCS Skid,ID InverterThreePhase,86,Hz,1,uint16,R,Hz,60,"SMA Power Inverters Grid Frequency"
10.0.7.118,PCS / SMA Inverter,Lineup 7 PCS Skid,ID InverterThreePhase,103,CabinetTemperature,1,sint16,R,C,24,"SMA Skid Ambient Enclosure Temperature"
10.0.7.118,PCS / SMA Inverter,Lineup 7 PCS Skid,ID InverterThreePhase,104,HeatSinkTemperature,1,sint16,R,C,38,"SMA Internal IGBT Module Coolant Temperature"
10.0.7.118,PCS / SMA Inverter,Lineup 7 PCS Skid,ID InverterThreePhase,108,OperatingState,1,enum16,R,N/A,4,"SMA Inverter State (4=Grid Connect/Running)"
10.0.7.4,MOXA I/O Controller,Lineup 7 Team Box,ID AuxiliaryTelemetry,13041,PVSSetpointKw,1,sint16,RW,kW,1200,"Dynamic power limit setpoint command"
10.0.7.4,MOXA I/O Controller,Lineup 7 Team Box,ID AuxiliaryTelemetry,13145,OATmp,1,sint16,R,C,21,"Outside Ambient Air Temperature"
10.0.7.4,MOXA I/O Controller,Lineup 7 Team Box,ID AuxiliaryTelemetry,13146,OAHumidity,1,sint16,R,%,45,"Outside Ambient Relative Humidity"
10.0.7.4,MOXA I/O Controller,Lineup 7 Team Box,ID AuxiliaryTelemetry,13191,HydrogenPPM,1,uint16,R,PPM,3,"Battery safety enclosure off-gas level"
10.0.8.1,BMS / Phoenix Controller,Lineup 8 AC Cabinet,ID BatteryBaseModel,647,Battery Identifier Block,1,uint16,R,N/A,802,"Battery System Modbus Block"
10.0.8.1,BMS / Phoenix Controller,Lineup 8 AC Cabinet,ID BatteryBaseModel,658,StateofCharge,1,uint16,R,%,84,"Active Battery state of charge (SoC)"
10.0.8.1,BMS / Phoenix Controller,Lineup 8 AC Cabinet,ID BatteryBaseModel,660,StateofHealth,1,uint16,R,%,98,"Active Battery state of health (SoH)"
10.0.8.1,BMS / Phoenix Controller,Lineup 8 AC Cabinet,ID BatteryBaseModel,664,ControlMode,1,enum16,R,N/A,2,"BMS Control Mode State"
10.0.8.1,BMS / Phoenix Controller,Lineup 8 AC Cabinet,ID BatteryBaseModel,691,TotalDCCurrent,1,sint16,R,A,450,"Phoenix Battery Line Charge Amperage"
10.0.8.1,BMS / Phoenix Controller,Lineup 8 AC Cabinet,ID BatteryBaseModel,694,TotalPower,1,sint16,R,W,124500,"Phoenix Enclosure DC Kilowatts"
10.0.8.1,BMS / Phoenix Controller,Lineup 8 AC Cabinet,ID LithiumIonBatteryBankModel,1159,Lithium Model Block,1,uint16,R,N/A,803,"Lithium Ion Chemical Bank Specification"
10.0.8.1,BMS / Phoenix Controller,Lineup 8 AC Cabinet,ID LithiumIonBatteryBankModel,1161,StringCount,1,uint16,R,Count,4,"Number of live strings attached"
10.0.8.1,BMS / Phoenix Controller,Lineup 8 AC Cabinet,ID LithiumIonBatteryBankModel,1163,MaxModuleTemperature,1,sint16,R,C,28,"Highest internal module cell thermistor value"
10.0.8.1,BMS / Phoenix Controller,Lineup 8 AC Cabinet,ID LithiumIonBatteryBankModel,1166,MinModuleTemperature,1,sint16,R,C,22,"Lowest internal module cell thermistor value"
10.0.8.118,PCS / SMA Inverter,Lineup 8 PCS Skid,ID InverterThreePhase,70,Inverter Identifier Block,1,uint16,R,N/A,103,"Inverter SunSpec Modbus Block"
10.0.8.118,PCS / SMA Inverter,Lineup 8 PCS Skid,ID InverterThreePhase,72,Amps,1,uint16,R,A,150,"SMA Aggregate AC Output Current"
10.0.8.118,PCS / SMA Inverter,Lineup 8 PCS Skid,ID InverterThreePhase,73,AmpsPhaseA,1,uint16,R,A,50,"SMA Inverter Phase A Current"
10.0.8.118,PCS / SMA Inverter,Lineup 8 PCS Skid,ID InverterThreePhase,74,AmpsPhaseB,1,uint16,R,A,50,"SMA Inverter Phase B Current"
10.0.8.118,PCS / SMA Inverter,Lineup 8 PCS Skid,ID InverterThreePhase,75,AmpsPhaseC,1,uint16,R,A,50,"SMA Inverter Phase C Current"
10.0.8.118,PCS / SMA Inverter,Lineup 8 PCS Skid,ID InverterThreePhase,77,PhaseVoltageAB,1,uint16,R,V,480,"SMA Inverter AC Interconnection Voltage"
10.0.8.118,PCS / SMA Inverter,Lineup 8 PCS Skid,ID InverterThreePhase,80,PhaseVoltageAN,1,uint16,R,V,277,"SMA Inverter AC LN Reference Voltage"
10.0.8.118,PCS / SMA Inverter,Lineup 8 PCS Skid,ID InverterThreePhase,84,Watts,1,sint16,R,W,124200,"SMA Inverter Active AC Output Power"
10.0.8.118,PCS / SMA Inverter,Lineup 8 PCS Skid,ID InverterThreePhase,86,Hz,1,uint16,R,Hz,60,"SMA Power Inverters Grid Frequency"
10.0.8.118,PCS / SMA Inverter,Lineup 8 PCS Skid,ID InverterThreePhase,103,CabinetTemperature,1,sint16,R,C,24,"SMA Skid Ambient Enclosure Temperature"
10.0.8.118,PCS / SMA Inverter,Lineup 8 PCS Skid,ID InverterThreePhase,104,HeatSinkTemperature,1,sint16,R,C,38,"SMA Internal IGBT Module Coolant Temperature"
10.0.8.118,PCS / SMA Inverter,Lineup 8 PCS Skid,ID InverterThreePhase,108,OperatingState,1,enum16,R,N/A,4,"SMA Inverter State (4=Grid Connect/Running)"
10.0.8.4,MOXA I/O Controller,Lineup 8 Team Box,ID AuxiliaryTelemetry,13041,PVSSetpointKw,1,sint16,RW,kW,1200,"Dynamic power limit setpoint command"
10.0.8.4,MOXA I/O Controller,Lineup 8 Team Box,ID AuxiliaryTelemetry,13145,OATmp,1,sint16,R,C,21,"Outside Ambient Air Temperature"
10.0.8.4,MOXA I/O Controller,Lineup 8 Team Box,ID AuxiliaryTelemetry,13146,OAHumidity,1,sint16,R,%,45,"Outside Ambient Relative Humidity"
10.0.8.4,MOXA I/O Controller,Lineup 8 Team Box,ID AuxiliaryTelemetry,13191,HydrogenPPM,1,uint16,R,PPM,3,"Battery safety enclosure off-gas level"
