FIELDTYPE,MODBUSADDRESS,FIELDSIZE,FIELDNAME,VALUE,TYPE,MANDATORY,R/W,SF,UNIT,SERVERID
Repeating,4430,1,MaxCellVoltageModule[17],,uint16,O,R,,,1
Repeating,4431,1,MinCellVoltage[17],,uint16,M,R,CellV_SF,V,1
Repeating,4432,1,MinCellVoltageModule[17],,uint16,O,R,,,1
Repeating,4433,1,AverageCellVoltage[17],,uint16,M,R,CellV_SF,V,1
Repeating,4434,1,StrModTmpMax[17],,sint16,M,R,ModTmp_SF,C,1
Repeating,4435,1,StrModTmpMaxMod[17],,uint16,O,R,,,1
Repeating,4436,1,StrModTmpMin[17],,sint16,M,R,ModTmp_SF,C,1
Repeating,4437,1,StrModTmpMinMod[17],,uint16,O,R,,,1
Repeating,4438,1,StrModTmpAvg[17],,sint16,M,R,ModTmp_SF,C,1
Repeating,4439,1,DisabledReason[17],,enum16,O,R,,,1
Repeating,4440,2,ContactorStatus[17],,bitfield32,O,R,,,1
Repeating,4442,2,StringEvent1[17],,bitfield32,M,R,,,1
Repeating,4444,2,StringEvent2[17],,bitfield32,O,R,,,1
Repeating,4446,2,VendorStringEventBitfield1[17],,bitfield32,O,R,,,1
Repeating,4448,2,VendorStringEventBitfield2[17],,bitfield32,O,R,,,1
Repeating,4450,1,EnableDisableString[17],,enum16,O,RW,,,1
Repeating,4451,1,ConnectDisconnectString[17],,enum16,O,RW,,,1
Repeating,4452,1,Pad[17],,pad,M,R,,,1
Repeating,4453,1,Pad2[17],,pad,M,R,,,1
Repeating,4454,1,ModuleCount[18],,uint16,M,R,,,1
Repeating,4455,2,StringStatus[18],,bitfield32,M,R,,,1
Repeating,4457,1,ConnectionFailureReason[18],,enum16,O,R,,,1
Repeating,4458,1,StringStateofCharge[18],,uint16,M,R,SoC_SF,%,1
Repeating,4459,1,StringStateofHealth[18],,uint16,O,R,SoH_SF,%,1
Repeating,4460,1,StringCurrent[18],,sint16,M,R,A_SF,A,1
Repeating,4461,1,MaxCellVoltage[18],,uint16,M,R,CellV_SF,V,1
Repeating,4462,1,MaxCellVoltageModule[18],,uint16,O,R,,,1
Repeating,4463,1,MinCellVoltage[18],,uint16,M,R,CellV_SF,V,1
Repeating,4464,1,MinCellVoltageModule[18],,uint16,O,R,,,1
Repeating,4465,1,AverageCellVoltage[18],,uint16,M,R,CellV_SF,V,1
Repeating,4466,1,StrModTmpMax[18],,sint16,M,R,ModTmp_SF,C,1
Repeating,4467,1,StrModTmpMaxMod[18],,uint16,O,R,,,1
Repeating,4468,1,StrModTmpMin[18],,sint16,M,R,ModTmp_SF,C,1
Repeating,4469,1,StrModTmpMinMod[18],,uint16,O,R,,,1
Repeating,4470,1,StrModTmpAvg[18],,sint16,M,R,ModTmp_SF,C,1
Repeating,4471,1,DisabledReason[18],,enum16,O,R,,,1
Repeating,4472,2,ContactorStatus[18],,bitfield32,O,R,,,1
Repeating,4474,2,StringEvent1[18],,bitfield32,M,R,,,1
Repeating,4476,2,StringEvent2[18],,bitfield32,O,R,,,1
Repeating,4478,2,VendorStringEventBitfield1[18],,bitfield32,O,R,,,1
Repeating,4480,2,VendorStringEventBitfield2[18],,bitfield32,O,R,,,1
Repeating,4482,1,EnableDisableString[18],,enum16,O,RW,,,1
Repeating,4483,1,ConnectDisconnectString[18],,enum16,O,RW,,,1
Repeating,4484,1,Pad[18],,pad,M,R,,,1
Repeating,4485,1,Pad2[18],,pad,M,R,,,1
Repeating,4486,1,ModuleCount[19],,uint16,M,R,,,1
Repeating,4487,2,StringStatus[19],,bitfield32,M,R,,,1
Repeating,4489,1,ConnectionFailureReason[19],,enum16,O,R,,,1
Repeating,4490,1,StringStateofCharge[19],,uint16,M,R,SoC_SF,%,1
Repeating,4491,1,StringStateofHealth[19],,uint16,O,R,SoH_SF,%,1
Repeating,4492,1,StringCurrent[19],,sint16,M,R,A_SF,A,1
Repeating,4493,1,MaxCellVoltage[19],,uint16,M,R,CellV_SF,V,1
Repeating,4494,1,MaxCellVoltageModule[19],,uint16,O,R,,,1
Repeating,4495,1,MinCellVoltage[19],,uint16,M,R,CellV_SF,V,1
Repeating,4496,1,MinCellVoltageModule[19],,uint16,O,R,,,1
Repeating,4497,1,AverageCellVoltage[19],,uint16,M,R,CellV_SF,V,1
Repeating,4498,1,StrModTmpMax[19],,sint16,M,R,ModTmp_SF,C,1
Repeating,4499,1,StrModTmpMaxMod[19],,uint16,O,R,,,1
Repeating,4500,1,StrModTmpMin[19],,sint16,M,R,ModTmp_SF,C,1
Repeating,4501,1,StrModTmpMinMod[19],,uint16,O,R,,,1
Repeating,4502,1,StrModTmpAvg[19],,sint16,M,R,ModTmp_SF,C,1
Repeating,4503,1,DisabledReason[19],,enum16,O,R,,,1
Repeating,4504,2,ContactorStatus[19],,bitfield32,O,R,,,1
Repeating,4506,2,StringEvent1[19],,bitfield32,M,R,,,1
Repeating,4508,2,StringEvent2[19],,bitfield32,O,R,,,1
Repeating,4510,2,VendorStringEventBitfield1[19],,bitfield32,O,R,,,1
Repeating,4512,2,VendorStringEventBitfield2[19],,bitfield32,O,R,,,1
Repeating,4514,1,EnableDisableString[19],,enum16,O,RW,,,1
Repeating,4515,1,ConnectDisconnectString[19],,enum16,O,RW,,,1
Repeating,4516,1,Pad[19],,pad,M,R,,,1
Repeating,4517,1,Pad2[19],,pad,M,R,,,1
Repeating,4518,1,ModuleCount[20],,uint16,M,R,,,1
Repeating,4519,2,StringStatus[20],,bitfield32,M,R,,,1
Repeating,4521,1,ConnectionFailureReason[20],,enum16,O,R,,,1
Repeating,4522,1,StringStateofCharge[20],,uint16,M,R,SoC_SF,%,1
Repeating,4523,1,StringStateofHealth[20],,uint16,O,R,SoH_SF,%,1
Repeating,4524,1,StringCurrent[20],,sint16,M,R,A_SF,A,1
Repeating,4525,1,MaxCellVoltage[20],,uint16,M,R,CellV_SF,V,1
Repeating,4526,1,MaxCellVoltageModule[20],,uint16,O,R,,,1
Repeating,4527,1,MinCellVoltage[20],,uint16,M,R,CellV_SF,V,1
Repeating,4528,1,MinCellVoltageModule[20],,uint16,O,R,,,1
Repeating,4529,1,AverageCellVoltage[20],,uint16,M,R,CellV_SF,V,1
Repeating,4530,1,StrModTmpMax[20],,sint16,M,R,ModTmp_SF,C,1
Repeating,4531,1,StrModTmpMaxMod[20],,uint16,O,R,,,1
Repeating,4532,1,StrModTmpMin[20],,sint16,M,R,ModTmp_SF,C,1
Repeating,4533,1,StrModTmpMinMod[20],,uint16,O,R,,,1
Repeating,4534,1,StrModTmpAvg[20],,sint16,M,R,ModTmp_SF,C,1
Repeating,4535,1,DisabledReason[20],,enum16,O,R,,,1
Repeating,4536,2,ContactorStatus[20],,bitfield32,O,R,,,1
Repeating,4538,2,StringEvent1[20],,bitfield32,M,R,,,1
Repeating,4540,2,StringEvent2[20],,bitfield32,O,R,,,1
Repeating,4542,2,VendorStringEventBitfield1[20],,bitfield32,O,R,,,1
Repeating,4544,2,VendorStringEventBitfield2[20],,bitfield32,O,R,,,1
Repeating,4546,1,EnableDisableString[20],,enum16,O,RW,,,1
Repeating,4547,1,ConnectDisconnectString[20],,enum16,O,RW,,,1
Repeating,4548,1,Pad[20],,pad,M,R,,,1
Repeating,4549,1,Pad2[20],,pad,M,R,,,1
Repeating,4550,1,ModuleCount[21],,uint16,M,R,,,1
Repeating,4551,2,StringStatus[21],,bitfield32,M,R,,,1
Repeating,4553,1,ConnectionFailureReason[21],,enum16,O,R,,,1
Repeating,4554,1,StringStateofCharge[21],,uint16,M,R,SoC_SF,%,1
Repeating,4555,1,StringStateofHealth[21],,uint16,O,R,SoH_SF,%,1
Repeating,4556,1,StringCurrent[21],,sint16,M,R,A_SF,A,1
Repeating,4557,1,MaxCellVoltage[21],,uint16,M,R,CellV_SF,V,1
Repeating,4558,1,MaxCellVoltageModule[21],,uint16,O,R,,,1
Repeating,4559,1,MinCellVoltage[21],,uint16,M,R,CellV_SF,V,1
Repeating,4560,1,MinCellVoltageModule[21],,uint16,O,R,,,1
Repeating,4561,1,AverageCellVoltage[21],,uint16,M,R,CellV_SF,V,1
Repeating,4562,1,StrModTmpMax[21],,sint16,M,R,ModTmp_SF,C,1
Repeating,4563,1,StrModTmpMaxMod[21],,uint16,O,R,,,1
Repeating,4564,1,StrModTmpMin[21],,sint16,M,R,ModTmp_SF,C,1
Repeating,4565,1,StrModTmpMinMod[21],,uint16,O,R,,,1
Repeating,4566,1,StrModTmpAvg[21],,sint16,M,R,ModTmp_SF,C,1
Repeating,4567,1,DisabledReason[21],,enum16,O,R,,,1
Repeating,4568,2,ContactorStatus[21],,bitfield32,O,R,,,1
Repeating,4570,2,StringEvent1[21],,bitfield32,M,R,,,1
Repeating,4572,2,StringEvent2[21],,bitfield32,O,R,,,1
Repeating,4574,2,VendorStringEventBitfield1[21],,bitfield32,O,R,,,1
Repeating,4576,2,VendorStringEventBitfield2[21],,bitfield32,O,R,,,1
Repeating,4578,1,EnableDisableString[21],,enum16,O,RW,,,1
Repeating,4579,1,ConnectDisconnectString[21],,enum16,O,RW,,,1
Repeating,4580,1,Pad[21],,pad,M,R,,,1
Repeating,4581,1,Pad2[21],,pad,M,R,,,1
Repeating,4582,1,ModuleCount[22],,uint16,M,R,,,1
Repeating,4583,2,StringStatus[22],,bitfield32,M,R,,,1
Repeating,4585,1,ConnectionFailureReason[22],,enum16,O,R,,,1
Repeating,4586,1,StringStateofCharge[22],,uint16,M,R,SoC_SF,%,1
Repeating,4587,1,StringStateofHealth[22],,uint16,O,R,SoH_SF,%,1
Repeating,4588,1,StringCurrent[22],,sint16,M,R,A_SF,A,1
Repeating,4589,1,MaxCellVoltage[22],,uint16,M,R,CellV_SF,V,1
Repeating,4590,1,MaxCellVoltageModule[22],,uint16,O,R,,,1
Repeating,4591,1,MinCellVoltage[22],,uint16,M,R,CellV_SF,V,1
Repeating,4592,1,MinCellVoltageModule[22],,uint16,O,R,,,1
Repeating,4593,1,AverageCellVoltage[22],,uint16,M,R,CellV_SF,V,1
Repeating,4594,1,StrModTmpMax[22],,sint16,M,R,ModTmp_SF,C,1
Repeating,4595,1,StrModTmpMaxMod[22],,uint16,O,R,,,1
Repeating,4596,1,StrModTmpMin[22],,sint16,M,R,ModTmp_SF,C,1
Repeating,4597,1,StrModTmpMinMod[22],,uint16,O,R,,,1
Repeating,4598,1,StrModTmpAvg[22],,sint16,M,R,ModTmp_SF,C,1
Repeating,4599,1,DisabledReason[22],,enum16,O,R,,,1
Repeating,4600,2,ContactorStatus[22],,bitfield32,O,R,,,1
Repeating,4602,2,StringEvent1[22],,bitfield32,M,R,,,1
Repeating,4604,2,StringEvent2[22],,bitfield32,O,R,,,1
Repeating,4606,2,VendorStringEventBitfield1[22],,bitfield32,O,R,,,1
Repeating,4608,2,VendorStringEventBitfield2[22],,bitfield32,O,R,,,1
Repeating,4610,1,EnableDisableString[22],,enum16,O,RW,,,1
Repeating,4611,1,ConnectDisconnectString[22],,enum16,O,RW,,,1
Repeating,4612,1,Pad[22],,pad,M,R,,,1
Repeating,4613,1,Pad2[22],,pad,M,R,,,1
Repeating,4614,1,ModuleCount[23],,uint16,M,R,,,1
Repeating,4615,2,StringStatus[23],,bitfield32,M,R,,,1
Repeating,4617,1,ConnectionFailureReason[23],,enum16,O,R,,,1
Repeating,4618,1,StringStateofCharge[23],,uint16,M,R,SoC_SF,%,1
Repeating,4619,1,StringStateofHealth[23],,uint16,O,R,SoH_SF,%,1
Repeating,4620,1,StringCurrent[23],,sint16,M,R,A_SF,A,1
Repeating,4621,1,MaxCellVoltage[23],,uint16,M,R,CellV_SF,V,1
Repeating,4622,1,MaxCellVoltageModule[23],,uint16,O,R,,,1
Repeating,4623,1,MinCellVoltage[23],,uint16,M,R,CellV_SF,V,1
Repeating,4624,1,MinCellVoltageModule[23],,uint16,O,R,,,1
Repeating,4625,1,AverageCellVoltage[23],,uint16,M,R,CellV_SF,V,1
Repeating,4626,1,StrModTmpMax[23],,sint16,M,R,ModTmp_SF,C,1
Repeating,4627,1,StrModTmpMaxMod[23],,uint16,O,R,,,1
Repeating,4628,1,StrModTmpMin[23],,sint16,M,R,ModTmp_SF,C,1
Repeating,4629,1,StrModTmpMinMod[23],,uint16,O,R,,,1
Repeating,4630,1,StrModTmpAvg[23],,sint16,M,R,ModTmp_SF,C,1
Repeating,4631,1,DisabledReason[23],,enum16,O,R,,,1
Repeating,4632,2,ContactorStatus[23],,bitfield32,O,R,,,1
Repeating,4634,2,StringEvent1[23],,bitfield32,M,R,,,1
Repeating,4636,2,StringEvent2[23],,bitfield32,O,R,,,1
Repeating,4638,2,VendorStringEventBitfield1[23],,bitfield32,O,R,,,1
Repeating,4640,2,VendorStringEventBitfield2[23],,bitfield32,O,R,,,1
Repeating,4642,1,EnableDisableString[23],,enum16,O,RW,,,1
Repeating,4643,1,ConnectDisconnectString[23],,enum16,O,RW,,,1
Repeating,4644,1,Pad[23],,pad,M,R,,,1
Repeating,4645,1,Pad2[23],,pad,M,R,,,1
Repeating,4646,1,ModuleCount[24],,uint16,M,R,,,1
Repeating,4647,2,StringStatus[24],,bitfield32,M,R,,,1
Repeating,4649,1,ConnectionFailureReason[24],,enum16,O,R,,,1
Repeating,4650,1,StringStateofCharge[24],,uint16,M,R,SoC_SF,%,1
Repeating,4651,1,StringStateofHealth[24],,uint16,O,R,SoH_SF,%,1
Repeating,4652,1,StringCurrent[24],,sint16,M,R,A_SF,A,1
Repeating,4653,1,MaxCellVoltage[24],,uint16,M,R,CellV_SF,V,1
Repeating,4654,1,MaxCellVoltageModule[24],,uint16,O,R,,,1
Repeating,4655,1,MinCellVoltage[24],,uint16,M,R,CellV_SF,V,1
Repeating,4656,1,MinCellVoltageModule[24],,uint16,O,R,,,1
Repeating,4657,1,AverageCellVoltage[24],,uint16,M,R,CellV_SF,V,1
Repeating,4658,1,StrModTmpMax[24],,sint16,M,R,ModTmp_SF,C,1
Repeating,4659,1,StrModTmpMaxMod[24],,uint16,O,R,,,1
Repeating,4660,1,StrModTmpMin[24],,sint16,M,R,ModTmp_SF,C,1
Repeating,4661,1,StrModTmpMinMod[24],,uint16,O,R,,,1
Repeating,4662,1,StrModTmpAvg[24],,sint16,M,R,ModTmp_SF,C,1
Repeating,4663,1,DisabledReason[24],,enum16,O,R,,,1
Repeating,4664,2,ContactorStatus[24],,bitfield32,O,R,,,1
Repeating,4666,2,StringEvent1[24],,bitfield32,M,R,,,1
Repeating,4668,2,StringEvent2[24],,bitfield32,O,R,,,1
Repeating,4670,2,VendorStringEventBitfield1[24],,bitfield32,O,R,,,1
Repeating,4672,2,VendorStringEventBitfield2[24],,bitfield32,O,R,,,1
Repeating,4674,1,EnableDisableString[24],,enum16,O,RW,,,1
Repeating,4675,1,ConnectDisconnectString[24],,enum16,O,RW,,,1
Repeating,4676,1,Pad[24],,pad,M,R,,,1
Repeating,4677,1,Pad2[24],,pad,M,R,,,1
Repeating,4678,1,ModuleCount[25],,uint16,M,R,,,1
Repeating,4679,2,StringStatus[25],,bitfield32,M,R,,,1
Repeating,4681,1,ConnectionFailureReason[25],,enum16,O,R,,,1
Repeating,4682,1,StringStateofCharge[25],,uint16,M,R,SoC_SF,%,1
Repeating,4683,1,StringStateofHealth[25],,uint16,O,R,SoH_SF,%,1
Repeating,4684,1,StringCurrent[25],,sint16,M,R,A_SF,A,1
Repeating,4685,1,MaxCellVoltage[25],,uint16,M,R,CellV_SF,V,1
Repeating,4686,1,MaxCellVoltageModule[25],,uint16,O,R,,,1
Repeating,4687,1,MinCellVoltage[25],,uint16,M,R,CellV_SF,V,1
Repeating,4688,1,MinCellVoltageModule[25],,uint16,O,R,,,1
Repeating,4689,1,AverageCellVoltage[25],,uint16,M,R,CellV_SF,V,1
Repeating,4690,1,StrModTmpMax[25],,sint16,M,R,ModTmp_SF,C,1
Repeating,4691,1,StrModTmpMaxMod[25],,uint16,O,R,,,1
Repeating,4692,1,StrModTmpMin[25],,sint16,M,R,ModTmp_SF,C,1
Repeating,4693,1,StrModTmpMinMod[25],,uint16,O,R,,,1
Repeating,4694,1,StrModTmpAvg[25],,sint16,M,R,ModTmp_SF,C,1
Repeating,4695,1,DisabledReason[25],,enum16,O,R,,,1
Repeating,4696,2,ContactorStatus[25],,bitfield32,O,R,,,1
Repeating,4698,2,StringEvent1[25],,bitfield32,M,R,,,1
Repeating,4700,2,StringEvent2[25],,bitfield32,O,R,,,1
Repeating,4702,2,VendorStringEventBitfield1[25],,bitfield32,O,R,,,1
Repeating,4704,2,VendorStringEventBitfield2[25],,bitfield32,O,R,,,1
Repeating,4706,1,EnableDisableString[25],,enum16,O,RW,,,1
Repeating,4707,1,ConnectDisconnectString[25],,enum16,O,RW,,,1
Repeating,4708,1,Pad[25],,pad,M,R,,,1
Repeating,4709,1,Pad2[25],,pad,M,R,,,1
Repeating,4710,1,ModuleCount[26],,uint16,M,R,,,1
Repeating,4711,2,StringStatus[26],,bitfield32,M,R,,,1
Repeating,4713,1,ConnectionFailureReason[26],,enum16,O,R,,,1
Repeating,4714,1,StringStateofCharge[26],,uint16,M,R,SoC_SF,%,1
Repeating,4715,1,StringStateofHealth[26],,uint16,O,R,SoH_SF,%,1
Repeating,4716,1,StringCurrent[26],,sint16,M,R,A_SF,A,1
Repeating,4717,1,MaxCellVoltage[26],,uint16,M,R,CellV_SF,V,1
Repeating,4718,1,MaxCellVoltageModule[26],,uint16,O,R,,,1
Repeating,4719,1,MinCellVoltage[26],,uint16,M,R,CellV_SF,V,1
Repeating,4720,1,MinCellVoltageModule[26],,uint16,O,R,,,1
Repeating,4721,1,AverageCellVoltage[26],,uint16,M,R,CellV_SF,V,1
Repeating,4722,1,StrModTmpMax[26],,sint16,M,R,ModTmp_SF,C,1
Repeating,4723,1,StrModTmpMaxMod[26],,uint16,O,R,,,1
Repeating,4724,1,StrModTmpMin[26],,sint16,M,R,ModTmp_SF,C,1
Repeating,4725,1,StrModTmpMinMod[26],,uint16,O,R,,,1
Repeating,4726,1,StrModTmpAvg[26],,sint16,M,R,ModTmp_SF,C,1
Repeating,4727,1,DisabledReason[26],,enum16,O,R,,,1
Repeating,4728,2,ContactorStatus[26],,bitfield32,O,R,,,1
Repeating,4730,2,StringEvent1[26],,bitfield32,M,R,,,1
Repeating,4732,2,StringEvent2[26],,bitfield32,O,R,,,1
Repeating,4734,2,VendorStringEventBitfield1[26],,bitfield32,O,R,,,1
Repeating,4736,2,VendorStringEventBitfield2[26],,bitfield32,O,R,,,1
Repeating,4738,1,EnableDisableString[26],,enum16,O,RW,,,1
Repeating,4739,1,ConnectDisconnectString[26],,enum16,O,RW,,,1
Repeating,4740,1,Pad[26],,pad,M,R,,,1
Repeating,4741,1,Pad2[26],,pad,M,R,,,1
Repeating,4742,1,ModuleCount[27],,uint16,M,R,,,1
Repeating,4743,2,StringStatus[27],,bitfield32,M,R,,,1
Repeating,4745,1,ConnectionFailureReason[27],,enum16,O,R,,,1
Repeating,4746,1,StringStateofCharge[27],,uint16,M,R,SoC_SF,%,1
Repeating,4747,1,StringStateofHealth[27],,uint16,O,R,SoH_SF,%,1
Repeating,4748,1,StringCurrent[27],,sint16,M,R,A_SF,A,1
Repeating,4749,1,MaxCellVoltage[27],,uint16,M,R,CellV_SF,V,1
Repeating,4750,1,MaxCellVoltageModule[27],,uint16,O,R,,,1
Repeating,4751,1,MinCellVoltage[27],,uint16,M,R,CellV_SF,V,1
Repeating,4752,1,MinCellVoltageModule[27],,uint16,O,R,,,1
Repeating,4753,1,AverageCellVoltage[27],,uint16,M,R,CellV_SF,V,1
Repeating,4754,1,StrModTmpMax[27],,sint16,M,R,ModTmp_SF,C,1
Repeating,4755,1,StrModTmpMaxMod[27],,uint16,O,R,,,1
Repeating,4756,1,StrModTmpMin[27],,sint16,M,R,ModTmp_SF,C,1
Repeating,4757,1,StrModTmpMinMod[27],,uint16,O,R,,,1
Repeating,4758,1,StrModTmpAvg[27],,sint16,M,R,ModTmp_SF,C,1
Repeating,4759,1,DisabledReason[27],,enum16,O,R,,,1
Repeating,4760,2,ContactorStatus[27],,bitfield32,O,R,,,1
Repeating,4762,2,StringEvent1[27],,bitfield32,M,R,,,1
Repeating,4764,2,StringEvent2[27],,bitfield32,O,R,,,1
Repeating,4766,2,VendorStringEventBitfield1[27],,bitfield32,O,R,,,1
Repeating,4768,2,VendorStringEventBitfield2[27],,bitfield32,O,R,,,1
Repeating,4770,1,EnableDisableString[27],,enum16,O,RW,,,1
Repeating,4771,1,ConnectDisconnectString[27],,enum16,O,RW,,,1
Repeating,4772,1,Pad[27],,pad,M,R,,,1
Repeating,4773,1,Pad2[27],,pad,M,R,,,1
Repeating,4774,1,ModuleCount[28],,uint16,M,R,,,1
Repeating,4775,2,StringStatus[28],,bitfield32,M,R,,,1
Repeating,4777,1,ConnectionFailureReason[28],,enum16,O,R,,,1
Repeating,4778,1,StringStateofCharge[28],,uint16,M,R,SoC_SF,%,1
Repeating,4779,1,StringStateofHealth[28],,uint16,O,R,SoH_SF,%,1
Repeating,4780,1,StringCurrent[28],,sint16,M,R,A_SF,A,1
Repeating,4781,1,MaxCellVoltage[28],,uint16,M,R,CellV_SF,V,1
Repeating,4782,1,MaxCellVoltageModule[28],,uint16,O,R,,,1
Repeating,4783,1,MinCellVoltage[28],,uint16,M,R,CellV_SF,V,1
Repeating,4784,1,MinCellVoltageModule[28],,uint16,O,R,,,1
Repeating,4785,1,AverageCellVoltage[28],,uint16,M,R,CellV_SF,V,1
Repeating,4786,1,StrModTmpMax[28],,sint16,M,R,ModTmp_SF,C,1
Repeating,4787,1,StrModTmpMaxMod[28],,uint16,O,R,,,1
Repeating,4788,1,StrModTmpMin[28],,sint16,M,R,ModTmp_SF,C,1
Repeating,4789,1,StrModTmpMinMod[28],,uint16,O,R,,,1
Repeating,4790,1,StrModTmpAvg[28],,sint16,M,R,ModTmp_SF,C,1
Repeating,4791,1,DisabledReason[28],,enum16,O,R,,,1
Repeating,4792,2,ContactorStatus[28],,bitfield32,O,R,,,1
Repeating,4794,2,StringEvent1[28],,bitfield32,M,R,,,1
Repeating,4796,2,StringEvent2[28],,bitfield32,O,R,,,1
Repeating,4798,2,VendorStringEventBitfield1[28],,bitfield32,O,R,,,1
Repeating,4800,2,VendorStringEventBitfield2[28],,bitfield32,O,R,,,1
Repeating,4802,1,EnableDisableString[28],,enum16,O,RW,,,1
Repeating,4803,1,ConnectDisconnectString[28],,enum16,O,RW,,,1
Repeating,4804,1,Pad[28],,pad,M,R,,,1
Repeating,4805,1,Pad2[28],,pad,M,R,,,1
Repeating,4806,1,ModuleCount[29],,uint16,M,R,,,1
Repeating,4807,2,StringStatus[29],,bitfield32,M,R,,,1
Repeating,4809,1,ConnectionFailureReason[29],,enum16,O,R,,,1
Repeating,4810,1,StringStateofCharge[29],,uint16,M,R,SoC_SF,%,1
Repeating,4811,1,StringStateofHealth[29],,uint16,O,R,SoH_SF,%,1
Repeating,4812,1,StringCurrent[29],,sint16,M,R,A_SF,A,1
Repeating,4813,1,MaxCellVoltage[29],,uint16,M,R,CellV_SF,V,1
Repeating,4814,1,MaxCellVoltageModule[29],,uint16,O,R,,,1
Repeating,4815,1,MinCellVoltage[29],,uint16,M,R,CellV_SF,V,1
Repeating,4816,1,MinCellVoltageModule[29],,uint16,O,R,,,1
Repeating,4817,1,AverageCellVoltage[29],,uint16,M,R,CellV_SF,V,1
Repeating,4818,1,StrModTmpMax[29],,sint16,M,R,ModTmp_SF,C,1
Repeating,4819,1,StrModTmpMaxMod[29],,uint16,O,R,,,1
Repeating,4820,1,StrModTmpMin[29],,sint16,M,R,ModTmp_SF,C,1
Repeating,4821,1,StrModTmpMinMod[29],,uint16,O,R,,,1
Repeating,4822,1,StrModTmpAvg[29],,sint16,M,R,ModTmp_SF,C,1
Repeating,4823,1,DisabledReason[29],,enum16,O,R,,,1
Repeating,4824,2,ContactorStatus[29],,bitfield32,O,R,,,1
Repeating,4826,2,StringEvent1[29],,bitfield32,M,R,,,1
Repeating,4828,2,StringEvent2[29],,bitfield32,O,R,,,1
Repeating,4830,2,VendorStringEventBitfield1[29],,bitfield32,O,R,,,1
Repeating,4832,2,VendorStringEventBitfield2[29],,bitfield32,O,R,,,1
Repeating,4834,1,EnableDisableString[29],,enum16,O,RW,,,1
Repeating,4835,1,ConnectDisconnectString[29],,enum16,O,RW,,,1
Repeating,4836,1,Pad[29],,pad,M,R,,,1
Repeating,4837,1,Pad2[29],,pad,M,R,,,1
Repeating,4838,1,ModuleCount[30],,uint16,M,R,,,1
Repeating,4839,2,StringStatus[30],,bitfield32,M,R,,,1
Repeating,4841,1,ConnectionFailureReason[30],,enum16,O,R,,,1
Repeating,4842,1,StringStateofCharge[30],,uint16,M,R,SoC_SF,%,1
Repeating,4843,1,StringStateofHealth[30],,uint16,O,R,SoH_SF,%,1
Repeating,4844,1,StringCurrent[30],,sint16,M,R,A_SF,A,1
Repeating,4845,1,MaxCellVoltage[30],,uint16,M,R,CellV_SF,V,1
Repeating,4846,1,MaxCellVoltageModule[30],,uint16,O,R,,,1
Repeating,4847,1,MinCellVoltage[30],,uint16,M,R,CellV_SF,V,1
Repeating,4848,1,MinCellVoltageModule[30],,uint16,O,R,,,1
Repeating,4849,1,AverageCellVoltage[30],,uint16,M,R,CellV_SF,V,1
Repeating,4850,1,StrModTmpMax[30],,sint16,M,R,ModTmp_SF,C,1
Repeating,4851,1,StrModTmpMaxMod[30],,uint16,O,R,,,1
Repeating,4852,1,StrModTmpMin[30],,sint16,M,R,ModTmp_SF,C,1
Repeating,4853,1,StrModTmpMinMod[30],,uint16,O,R,,,1
Repeating,4854,1,StrModTmpAvg[30],,sint16,M,R,ModTmp_SF,C,1
Repeating,4855,1,DisabledReason[30],,enum16,O,R,,,1
Repeating,4856,2,ContactorStatus[30],,bitfield32,O,R,,,1
Repeating,4858,2,StringEvent1[30],,bitfield32,M,R,,,1
Repeating,4860,2,StringEvent2[30],,bitfield32,O,R,,,1
Repeating,4862,2,VendorStringEventBitfield1[30],,bitfield32,O,R,,,1
Repeating,4864,2,VendorStringEventBitfield2[30],,bitfield32,O,R,,,1
Repeating,4866,1,EnableDisableString[30],,enum16,O,RW,,,1
Repeating,4867,1,ConnectDisconnectString[30],,enum16,O,RW,,,1
Repeating,4868,1,Pad[30],,pad,M,R,,,1
Repeating,4869,1,Pad2[30],,pad,M,R,,,1
Repeating,4870,1,ModuleCount[31],,uint16,M,R,,,1
Repeating,4871,2,StringStatus[31],,bitfield32,M,R,,,1
Repeating,4873,1,ConnectionFailureReason[31],,enum16,O,R,,,1
Repeating,4874,1,StringStateofCharge[31],,uint16,M,R,SoC_SF,%,1
Repeating,4875,1,StringStateofHealth[31],,uint16,O,R,SoH_SF,%,1
Repeating,4876,1,StringCurrent[31],,sint16,M,R,A_SF,A,1
Repeating,4877,1,MaxCellVoltage[31],,uint16,M,R,CellV_SF,V,1
Repeating,4878,1,MaxCellVoltageModule[31],,uint16,O,R,,,1
Repeating,4879,1,MinCellVoltage[31],,uint16,M,R,CellV_SF,V,1
Repeating,4880,1,MinCellVoltageModule[31],,uint16,O,R,,,1
Repeating,4881,1,AverageCellVoltage[31],,uint16,M,R,CellV_SF,V,1
Repeating,4882,1,StrModTmpMax[31],,sint16,M,R,ModTmp_SF,C,1
Repeating,4883,1,StrModTmpMaxMod[31],,uint16,O,R,,,1
Repeating,4884,1,StrModTmpMin[31],,sint16,M,R,ModTmp_SF,C,1
Repeating,4885,1,StrModTmpMinMod[31],,uint16,O,R,,,1
Repeating,4886,1,StrModTmpAvg[31],,sint16,M,R,ModTmp_SF,C,1
Repeating,4887,1,DisabledReason[31],,enum16,O,R,,,1
Repeating,4888,2,ContactorStatus[31],,bitfield32,O,R,,,1
